Model Year,Make,Model,Car_or_Truck,Vehicle Class,Engine Size(L),Engine Size Rank,Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,CarNumber,,
2022,GMC,Sierra 4WD (No Stop-Start),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.1,12.4,14.4,20,338,3,6,1405,378.72,2.347222222
2022,GMC,Sierra 4WD Mud Terrain Tire,Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,16.6,14,15.4,18,360,2,6,1406,405.02,2.337662338
2022,GMC,Sierra 4WD Mud Terrain Tire (No DFM),Trucks,Pickup truck: Standard,5.3,4.8,8,A10,3,18.1,13.8,16.2,17,381,2,6,1407,426.06,2.351851852
2022,GMC,Yukon,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.8,11.8,14,20,327,3,6,1415,368.2,2.335714286
2022,GMC,Yukon (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,16,11.9,14.1,20,332,3,6,1416,370.83,2.354609929
2022,GMC,Yukon 4WD,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.8,11.8,14,20,327,3,6,1418,368.2,2.335714286
2022,GMC,Yukon 4WD (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,17,12.7,15.1,19,354,3,6,1419,397.13,2.344370861
2022,GMC,Yukon XL,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.8,11.8,14,20,327,3,6,1423,368.2,2.335714286
2022,GMC,Yukon XL (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,16,11.9,14.1,20,332,3,6,1424,370.83,2.354609929
2022,GMC,Yukon XL 4WD,Cars,SUV: Standard,5.3,4.8,8,A10,3,15.9,12.4,14.3,20,336,3,6,1426,376.09,2.34965035
2022,GMC,Yukon XL 4WD (No Stop-Start),Cars,SUV: Standard,5.3,4.8,8,A10,3,17,12.7,15.1,19,354,3,6,1427,397.13,2.344370861
2022,Ford,Shelby GT500 Mustang,Cars,Subcompact,5.2,4.8,8,AM7,4,19.9,12.7,16.7,17,392,2,3,1359,439.21,2.347305389
2022,Ford,F-150 FFV,Trucks,Pickup truck: Standard,5,4.8,8,AS10,3,14.4,10.8,12.8,22,300,3,5,1317,336.64,2.34375
2022,Ford,F-150 FFV,Trucks,Pickup truck: Standard,5,4.8,8,AS10,2,20.8,14.3,17.9,16,298,4,5,1318,470.77,1.664804469
2022,Ford,F-150 FFV (Without Stop-Start),Trucks,Pickup truck: Standard,5,4.8,8,AS10,3,14.7,10.6,12.9,22,302,3,5,1319,339.27,2.341085271
2022,Ford,F-150 FFV (Without Stop-Start),Trucks,Pickup truck: Standard,5,4.8,8,AS10,2,20.1,14.1,17.4,16,289,4,5,1320,457.62,1.66091954
2022,Ford,F-150 4X4 FFV,Trucks,Pickup truck: Standard,5,4.8,8,AS10,3,14.7,10.8,12.9,22,304,3,5,1326,339.27,2.356589147
2022,Ford,F-150 4X4 FFV,Trucks,Pickup truck: Standard,5,4.8,8,AS10,2,21.2,14.2,18.1,16,301,3,5,1327,476.03,1.662983425
2022,Ford,F-150 4X4 FFV (Without Stop-Start),Trucks,Pickup truck: Standard,5,4.8,8,AS10,3,15.1,10.7,13.1,22,308,3,5,1328,344.53,2.351145038
2022,Ford,F-150 4X4 FFV (Without Stop-Start),Trucks,Pickup truck: Standard,5,4.8,8,AS10,2,20.7,14.2,17.8,16,295,4,5,1329,468.14,1.657303371
2022,Ford,Mustang,Cars,Subcompact,5,4.8,8,AS10,3,15.2,9.7,12.7,22,298,4,3,1346,334.01,2.346456693
2022,Ford,Mustang,Cars,Subcompact,5,4.8,8,M6,3,16.1,10.1,13.4,21,314,3,3,1347,352.42,2.343283582
2022,Ford,Mustang Convertible,Cars,Subcompact,5,4.8,8,AS10,3,15.8,10.4,13.4,21,314,3,3,1353,352.42,2.343283582
2022,Ford,Mustang Mach 1,Cars,Subcompact,5,4.8,8,AS10,3,15.2,10.1,12.9,22,302,3,3,1354,339.27,2.341085271
2022,Ford,Mustang Mach 1,Cars,Subcompact,5,4.8,8,M6,3,17.1,11.2,14.5,19,339,3,3,1355,381.35,2.337931034
2022,Genesis,G90 AWD,Cars,Full-size,5,4.8,8,AS8,4,15,10.1,12.8,22,303,3,5,1371,336.64,2.3671875
2022,Jaguar,F-TYPE P450 Convertible,Cars,Two-seater,5,4.8,8,AS8,4,14.1,9.7,12.1,23,286,4,3,1492,318.23,2.363636364
2022,Jaguar,F-TYPE P450 Convertible AWD,Cars,Two-seater,5,4.8,8,AS8,4,15.2,9.8,12.7,22,299,3,3,1493,334.01,2.354330709
2022,Jaguar,F-TYPE P450 Coupe,Cars,Two-seater,5,4.8,8,AS8,4,14.1,9.7,12.1,23,286,4,3,1494,318.23,2.363636364
2022,Jaguar,F-TYPE P450 Coupe AWD,Cars,Two-seater,5,4.8,8,AS8,4,15.2,9.8,12.7,22,299,3,3,1495,334.01,2.354330709
2022,Jaguar,F-TYPE R Convertible AWD,Cars,Two-seater,5,4.8,8,AS8,4,15.2,9.8,12.7,22,299,3,3,1496,334.01,2.354330709
2022,Jaguar,F-TYPE R Coupe AWD,Cars,Two-seater,5,4.8,8,AS8,4,15.2,9.8,12.7,22,299,3,3,1497,334.01,2.354330709
2022,Land Rover,Defender 90 5.0L V8,Cars,SUV: Standard,5,4.8,8,AS8,4,15.8,12.4,14.3,20,339,3,3,1567,376.09,2.370629371
2022,Land Rover,Defender 110 5.0L V8,Cars,SUV: Standard,5,4.8,8,AS8,4,16.4,12.7,14.7,19,350,3,3,1570,386.61,2.380952381
2022,Land Rover,Range Rover P525,Cars,SUV: Standard,5,4.8,8,AS8,4,14.4,11.3,13,22,305,3,3,1575,341.9,2.346153846
2022,Land Rover,Range Rover P525 LWB,Cars,SUV: Standard,5,4.8,8,AS8,4,14.4,11.3,13,22,305,3,3,1576,341.9,2.346153846
2022,Land Rover,Range Rover SVAutobiography,Cars,SUV: Standard,5,4.8,8,AS8,4,17.1,12.6,15.1,19,354,3,3,1577,397.13,2.344370861
2022,Land Rover,Range Rover SVAutobiography LWB,Cars,SUV: Standard,5,4.8,8,AS8,4,17.9,12.7,15.5,18,365,2,3,1578,407.65,2.35483871
